,_id,nombre,latitud,longitud,category,distance,geometry
89,{'$oid': '61927efa6b0640e76d094fb1'},J Robert Scott,34.081310279417394,-118.38432315667436,Design Studio,2.3419574255117417,"{'type': 'Point', 'coordinates': [-118.38432315667436, 34.081310279417394]}"
90,{'$oid': '61927efa6b0640e76d094fab'},Formations,34.080928802490234,-118.38382720947266,Design Studio,2.3575427883818283,"{'type': 'Point', 'coordinates': [-118.38382720947266, 34.080928802490234]}"
91,{'$oid': '61927efa6b0640e76d094f91'},Songkick,34.079965,-118.382986,Tech Startup,2.370349902792553,"{'type': 'Point', 'coordinates': [-118.382986, 34.079965]}"
92,{'$oid': '61927efa6b0640e76d094fa9'},& Other Stories,34.081432,-118.383464,Design Studio,2.415694601268845,"{'type': 'Point', 'coordinates': [-118.383464, 34.081432]}"
93,{'$oid': '61927efa6b0640e76d094f8a'},Social Vibe HQ,34.0828,-118.383711,Tech Startup,2.482484330807507,"{'type': 'Point', 'coordinates': [-118.383711, 34.0828]}"
94,{'$oid': '61927efa6b0640e76d094fae'},Pacific Design Center,34.082137284573065,-118.38264561195832,Design Studio,2.521575854662776,"{'type': 'Point', 'coordinates': [-118.38264561195832, 34.082137284573065]}"
95,{'$oid': '61927efa6b0640e76d094f93'},RocketFrog,34.08289894447528,-118.38306191847931,Tech Startup,2.537513443609514,"{'type': 'Point', 'coordinates': [-118.38306191847931, 34.08289894447528]}"
96,{'$oid': '61927efa6b0640e76d094f88'},StartEngine,34.083936,-118.382448,Tech Startup,2.6509661764502455,"{'type': 'Point', 'coordinates': [-118.382448, 34.083936]}"
97,{'$oid': '61927efa6b0640e76d094f95'},Hornet.lax,34.08377,-118.382199,Tech Startup,2.6585270590186094,"{'type': 'Point', 'coordinates': [-118.382199, 34.08377]}"
98,{'$oid': '61927efa6b0640e76d094faf'},Pacific Design Center (Red Building),34.08419012903631,-118.38189632871158,Design Studio,2.708613309117626,"{'type': 'Point', 'coordinates': [-118.38189632871158, 34.08419012903631]}"
